,ID,Ontologies,Visualization,Task_Success,Time_On_Task,base_avg_size_left,base_avg_size_right,base_avg_size_both,total_fixations,sum_fixation_duration,mean_fixation_duration,std_fixation_duration,total_saccades,sum_saccade_length,mean_saccade_length,std_saccade_length,sum_saccade_duration,mean_saccade_duration,std_saccade_duration,total_left_clicks,mean_time_between_clicks,std_time_between_clicks,avg_size_left,avg_size_right,avg_size_both
10,p13,Conference Domain,Tree,0.434782609,35,4.503,4.510897796,4.506948898,5025,1308.141,260.3265672,181.2859107,5024,723360.901,143.9810711,170.5788308,361.325,71.91978503,122.9143346,612,2.708681373,2.597861954,4.829375206,4.879316672,4.854345939
11,p13,Biomedical Domain,Graph,0.391304348,27,4.503,4.510897796,4.506948898,5491,1614.999,294.1174649,230.4859653,5490,936609.9483,170.602905,190.7178393,477.621,86.99836066,153.9795404,400,5.19331,6.052766362,4.733268427,4.650966972,4.692117699
12,p15,Conference Domain,Tree,0.52173913,9,3.938446316,3.616629474,3.777537895,1158,188.193,162.515544,84.64592592,1157,138931.1105,120.0787472,187.8263464,595.33,514.5462403,1184.917695,196,3.920010204,4.404056774,4.194512161,3.936280011,4.065396086
13,p15,Biomedical Domain,Graph,0.565217391,13,3.938446316,3.616629474,3.777537895,1007,176.76,175.531281,107.2343301,1006,136636.4574,135.8215282,192.1446971,340.539,338.5079523,608.4893042,129,3.790705426,4.864457473,4.1816601,3.88736608,4.03451309
14,p17,Conference Domain,Tree,0.434782609,14,3.8232125,3.33525,3.57923125,3345,904.39,270.3707025,234.4054746,3344,339987.5702,101.6709241,134.8953922,420.117,125.6330742,216.380363,533,2.461557223,2.294033214,4.104126415,3.586478344,3.84530238
15,p17,Biomedical Domain,Graph,0.608695652,22,3.8232125,3.33525,3.57923125,1347,357.818,265.640683,245.1531469,1346,174723.6423,129.8095411,174.0767215,473.116,351.4977712,857.220751,312,2.610724359,3.097935993,4.144957844,3.613000549,3.878979197
16,p19,Conference Domain,Tree,0.565217391,14,3.897726891,3.666111345,3.781919118,11294,2926.768,259.1436161,190.5910462,11293,1492083.296,132.1246167,171.5579191,1402.559,124.1972018,274.2347117,1009,4.277810704,5.360424571,3.940878003,3.779251457,3.86006473
17,p19,Biomedical Domain,Graph,0.434782609,72,3.897726891,3.666111345,3.781919118,1847,362.232,196.1191121,128.5648674,1846,225869.1224,122.355971,184.1917218,435.727,236.0384615,394.972595,241,3.244282158,3.579399864,3.867232996,3.765384746,3.816308871
18,p21,Conference Domain,Tree,0.434782609,16,3.238491111,3.198868889,3.21868,1000,303.95,303.95,225.669928,999,121749.2921,121.8711633,158.9466868,59.271,59.33033033,107.2764068,170,2.101717647,2.261514378,3.35155961,3.356456692,3.354008151
19,p21,Biomedical Domain,Graph,0.565217391,6,3.238491111,3.198868889,3.21868,2262,672.829,297.4487179,274.2286674,2261,323198.0951,142.9447568,185.1616179,251.991,111.4511278,181.2583326,355,2.560284507,3.24029368,3.401386277,3.356179593,3.378782935
20,p23,Conference Domain,Tree,0.565217391,13,3.833086598,3.687593814,3.760340206,8908,2148.624,241.2016165,187.0684888,8907,1045774.96,117.4104592,164.843877,1352.222,151.8156506,280.1017514,1592,2.19061809,3.244570016,4.168157652,3.926381795,4.047269723
21,p23,Biomedical Domain,Graph,0.391304348,58,3.833086598,3.687593814,3.760340206,1824,604.093,331.1913377,275.4409084,1823,248624.0404,136.3818104,195.8496369,168.924,92.66264399,311.9018495,447,1.69204698,2.620341141,4.015884418,3.816721685,3.916303052
22,p25,Conference Domain,Tree,0.565217391,34,4.033583501,4.339193159,4.18638833,5772,1615.332,279.8565489,216.3876943,5771,811677.1499,140.6475741,169.8548519,768.854,133.2271703,322.2584217,1112,2.128764388,3.051234087,3.67523312,4.334815312,4.005024216
23,p25,Biomedical Domain,Graph,0.347826087,39,4.033583501,4.339193159,4.18638833,4788,1565.245,326.9099833,250.487825,4787,875934.6491,182.9819614,236.6121303,459.428,95.97409651,147.3124246,574,3.372421603,8.276182517,4.029822016,4.414276638,4.222049327
24,p27,Conference Domain,Tree,0.260869565,13,3.963407921,3.888980198,3.926194059,3568,899.321,252.0518498,205.3213181,3567,449181.2381,125.926896,187.9396882,2011.514,563.9231847,13649.26208,1042,2.913328215,3.445646296,4.12682798,4.097416291,4.112122135
25,p27,Biomedical Domain,Graph,0.086956522,50,3.963407921,3.888980198,3.926194059,1614,567.699,351.7342007,301.4122668,1613,257950.2515,159.9195607,227.4500546,202.986,125.8437694,718.17881,239,3.201799163,2.800552395,4.39791811,4.394626863,4.396272486
26,p31,Conference Domain,Tree,0.391304348,14,3.269736842,3.08552322,3.177630031,4210,681.018,161.7619952,80.54274422,4209,603219.4192,143.3165643,206.3107183,1955.079,464.4996436,735.2788968,662,3.934430514,5.920389459,3.479134302,3.25669233,3.367913316
27,p31,Biomedical Domain,Graph,0.52173913,44,3.269736842,3.08552322,3.177630031,410,56.019,136.6317073,49.23848922,409,87992.1536,215.1397399,232.3637275,834.629,2040.657702,3180.858021,223,3.78870852,5.477643642,3.437457639,3.27585038,3.356654009
28,p33,Conference Domain,Tree,0.47826087,22,3.147223361,2.981043033,3.064133197,2340,350.63,149.8418803,68.09666537,2339,321753.7826,137.560403,186.1344819,1255.795,536.8939718,961.6231964,543,2.937036832,3.954565911,3.165545426,3.010016597,3.087781012
29,p33,Biomedical Domain,Graph,0.347826087,27,3.147223361,2.981043033,3.064133197,2849,570.506,200.2478062,136.7806708,2848,350796.1559,123.1728075,192.8799314,512.2,179.8455056,252.7218296,288,3.782086806,4.77447174,3.189525484,3.047664618,3.118595051
30,p35,Conference Domain,Tree,0.608695652,9,3.805559838,3.937056795,3.871308316,3763,800.892,212.8333776,151.762597,3762,379906.5006,100.9852474,140.9164359,1476.111,392.3740032,1488.87106,775,2.919966452,2.873425694,3.827092208,3.96674104,3.896916624
31,p35,Biomedical Domain,Graph,0.47826087,37,3.805559838,3.937056795,3.871308316,1018,227.707,223.6807466,159.5121657,1017,123873.3227,121.8026772,188.1048607,298.862,293.8662734,712.9115898,144,3.592055556,3.744072436,3.808445901,3.870380734,3.839413317
32,p2,Conference Domain,Graph,0.347826087,19,3.073719033,2.774450151,2.924084592,2581,414.829,160.7241379,85.31549199,2580,324201.0007,125.6593026,190.8639491,1149.467,445.529845,570.7042026,415,3.609106024,4.232006622,3.05760251,2.781126296,2.919364403
33,p2,Biomedical Domain,Tree,0.391304348,25,3.073719033,2.774450151,2.924084592,1166,174.485,149.6440823,72.27505458,1165,178873.1484,153.5391832,213.5751634,924.729,793.7587983,2370.501819,370,3.07842973,3.193768181,2.965709016,2.690848033,2.828278524
34,p4,Conference Domain,Graph,0.391304348,12,3.229174263,3.359978552,3.294576408,590,94.984,160.9898305,124.0898816,589,121734.7041,206.6803125,249.3216795,452.559,768.3514431,1130.997745,234,2.322401709,2.648683724,3.22582027,3.380686777,3.303253523
35,p4,Biomedical Domain,Tree,0.52173913,9,3.229174263,3.359978552,3.294576408,605,112.708,186.2942149,143.1710968,604,137502.7115,227.6534958,274.4832022,610.564,1010.86755,1721.115413,253,2.765936759,3.621448208,3.238616167,3.466077532,3.352346849
36,p6,Conference Domain,Graph,0.869565217,26,3.29853125,3.454789583,3.376660417,6752,1355.507,200.7563685,133.3024246,6751,714182.6459,105.789164,175.9463205,1263.48,187.1544956,258.2992889,666,3.901247748,5.763015381,3.60749675,3.827015678,3.717256214
37,p6,Biomedical Domain,Tree,0.739130435,43,3.29853125,3.454789583,3.376660417,4297,852.711,198.4433326,125.4962036,4296,549868.3146,127.9954177,195.3932284,686.603,159.8237896,233.5950206,410,3.735543902,4.197919451,3.468226893,3.662444292,3.565335593
38,p10,Conference Domain,Graph,0.608695652,17,3.952657563,4.15712395,4.054890756,4928,1097.945,222.7972808,144.0363234,4927,594968.6632,120.7567816,191.733506,640.565,130.011163,171.3065116,549,3.129287796,4.308918773,3.959827182,4.399944022,4.179885602
39,p10,Biomedical Domain,Tree,0.47826087,29,3.952657563,4.15712395,4.054890756,2131,365.198,171.3740028,86.22119964,2130,351797.1615,165.1629866,234.8370852,650.856,305.5661972,417.2572791,365,2.700224658,2.915305917,3.899817398,4.407079053,4.153448225
40,p12,Conference Domain,Graph,0.304347826,17,3.736884279,3.793617904,3.765251092,1132,205.727,181.7376325,107.5507532,1131,128494.936,113.6117913,183.1452689,459.508,406.2847038,693.9355319,239,2.774891213,2.996200636,3.810049444,3.866253054,3.838151249
41,p12,Biomedical Domain,Tree,0.695652174,11,3.736884279,3.793617904,3.765251092,2333,453.578,194.4183455,137.4741512,2332,280861.8184,120.4381726,179.7625165,520.548,223.219554,318.2487133,282,3.408216312,4.106659467,3.800883439,3.83290879,3.816896115
42,p14,Conference Domain,Graph,0.52173913,15,3.429301676,3.492846369,3.461074022,3580,1249.404,348.9955307,312.5688193,3579,343056.294,95.85255489,150.5224948,401.001,112.0427494,186.9093936,411,3.947549878,5.972589447,3.82823278,3.691849306,3.760041043
43,p14,Biomedical Domain,Tree,0.217391304,28,3.429301676,3.492846369,3.461074022,2234,533.086,238.6239928,224.3051071,2233,291355.8601,130.477322,157.0646008,391.157,175.1710703,237.5589011,253,3.623110672,3.977049778,3.749433679,3.564784389,3.657109034
44,p16,Conference Domain,Graph,0.52173913,28,4.061796218,4.192909664,4.127352941,3823,1437.298,375.9607638,325.8291031,3822,508050.9619,132.9280382,198.6011927,317.7,83.12401884,267.6483909,225,7.6916,14.4361177,3.709443268,3.874751939,3.792097604
45,p16,Biomedical Domain,Tree,0.47826087,29,4.061796218,4.192909664,4.127352941,4840,1256.923,259.6948347,201.1716098,4839,712853.245,147.3141651,189.9329141,411.047,84.94461666,123.7725841,543,3.035594843,3.900063022,3.770889563,3.916447476,3.84366852
46,p18,Conference Domain,Graph,0.739130435,21,2.469319328,2.319605042,2.394462185,3559,651.412,183.0323124,125.5756316,3558,524393.228,147.3842687,204.9232901,964.344,271.0354132,402.4562746,589,2.713365025,3.518583316,2.801012761,2.64290058,2.721956671
47,p18,Biomedical Domain,Tree,0.565217391,27,2.469319328,2.319605042,2.394462185,2485,443.866,178.6181087,126.7291109,2484,439638.3117,176.9880482,233.7242854,799.377,321.8103865,471.1474933,439,2.819396355,2.564593097,2.854934982,2.661597093,2.758266038
48,p20,Conference Domain,Graph,0.391304348,30,3.428134948,3.216737024,3.322435986,468,99.006,211.5512821,144.2106163,467,45009.89231,96.38092572,139.6292063,481.196,1030.398287,11787.22232,620,2.1576,4.338534472,3.329078322,3.163248844,3.246163583
49,p20,Biomedical Domain,Tree,0.434782609,23,3.428134948,3.216737024,3.322435986,4349,1068.897,245.7799494,239.0568772,4348,486544.5795,111.9007773,151.0457256,786.846,180.9673413,469.9997194,482,3.783076763,6.528288153,3.241698011,3.028419092,3.135058552
50,p24,Conference Domain,Graph,0.565217391,32,3.604751527,3.580405295,3.592578411,1834,258.91,141.172301,52.24272713,1833,279982.2688,152.745373,217.0724779,1217.362,664.1363884,1283.746475,628,2.342235669,3.688548843,3.881970595,3.795897944,3.838934269
51,p24,Biomedical Domain,Tree,0.739130435,25,3.604751527,3.580405295,3.592578411,2522,352.379,139.722046,50.5884851,2521,427496.4565,169.5741596,220.2487966,1610.727,638.9238397,897.5271821,557,3.491899461,3.686495591,3.864159672,3.737859846,3.801009759
52,p28,Conference Domain,Graph,0.52173913,10,4.32973922,3.967281314,4.148510267,1849,371.402,200.8664143,119.5363925,1848,223016.4661,120.6799059,175.9033608,397.329,215.0048701,299.3423716,186,3.966456989,4.33488611,4.296986819,4.150232562,4.223609691
53,p28,Biomedical Domain,Tree,0.52173913,13,4.32973922,3.967281314,4.148510267,1023,207.278,202.6177908,124.5817172,1022,174510.7432,170.7541519,178.790246,378.126,369.9863014,1300.263087,152,3.694848684,6.099262225,3.929737052,3.718474458,3.824105755
54,p30,Conference Domain,Graph,0.391304348,23,3.342865566,3.150554245,3.246709906,5093,1506.29,295.7569213,217.5174357,5092,596143.494,117.0745275,179.3774028,424.518,83.36959937,168.2159839,485,3.860674227,7.161439395,3.655279626,3.4325662,3.543922913
55,p30,Biomedical Domain,Tree,0.47826087,32,3.342865566,3.150554245,3.246709906,3895,867.342,222.6808729,147.3674069,3894,567952.5146,145.8532395,178.7850532,551.112,141.5285054,260.5479083,353,3.840869688,6.451802385,3.569465246,3.302128776,3.435797011
56,p32,Conference Domain,Graph,0.304347826,21,4.015238569,3.822403579,3.918821074,1735,597.5,344.3804035,252.8754987,1734,209846.5179,121.0187531,171.6713924,97.481,56.21741638,98.66436088,252,2.703527778,3.648132519,3.742210936,3.637580059,3.689895497
57,p32,Biomedical Domain,Tree,0.347826087,12,4.015238569,3.822403579,3.918821074,3130,1124.668,359.3188498,287.499494,3129,425933.7648,136.1245653,169.6262991,141.422,45.1971876,74.20956307,423,2.9408487,3.632139517,3.735632006,3.675031493,3.70533175
58,p34,Conference Domain,Graph,0.608695652,38,3.401875494,3.562814229,3.482344862,6902,1502.96,217.7571718,146.0636016,6901,985287.8258,142.7746451,210.6926896,1419.637,205.714679,1153.50376,1000,2.919105,6.514010646,3.585289662,3.817738499,3.70151408
59,p34,Biomedical Domain,Tree,0.565217391,49,3.401875494,3.562814229,3.482344862,5707,1140.145,199.7800946,131.638132,5706,917590.0683,160.8114385,209.735117,1163.235,203.8617245,595.5311448,654,3.512018349,5.262839982,3.575847279,3.79229442,3.68407085
60,p36,Conference Domain,Graph,0.434782609,21,4.519071856,4.353037924,4.43605489,2183,766.606,351.1708658,272.8111668,2182,235300.4775,107.8370658,156.2898,168.801,77.36067828,177.4780368,169,5.507035503,6.353993808,4.01162544,3.910868829,3.961247135
61,p36,Biomedical Domain,Tree,0.52173913,15,4.519071856,4.353037924,4.43605489,3486,889.052,255.0349971,192.7755125,3485,411874.2506,118.1848639,160.7979892,374.985,107.5997131,206.3201108,261,4.765681992,5.399919215,4.06212211,3.925126168,3.993624139
